"Date","Price","Open","High","Low","Change %"
"Feb 12, 2015","65.1725","65.3146","65.1725","65.1725","-0.22"
"Feb 11, 2015","65.3146","65.4528","65.3146","65.3146","-0.21"
"Feb 10, 2015","65.4528","65.7958","65.4528","65.4528","-0.52"
"Feb 09, 2015","65.7958","66.9112","65.7958","65.7958","-1.67"
"Feb 06, 2015","66.9112","66.4901","66.9112","66.9112","0.63"
"Feb 05, 2015","66.4901","68.0081","66.4901","66.4901","-2.23"
"Feb 04, 2015","68.0081","65.1916","68.0081","68.0081","4.32"
"Feb 03, 2015","65.1916","68.3189","65.1916","65.1916","-4.58"
"Feb 02, 2015","68.3189","68.8629","68.3189","68.3189","-0.79"
"Jan 30, 2015","68.8629","68.7572","68.8629","68.8629","0.15"
"Jan 29, 2015","68.7572","68.0284","68.7572","68.7572","1.07"
"Jan 28, 2015","68.0284","66.8431","68.0284","68.0284","1.77"
"Jan 27, 2015","66.8431","68.5074","66.8431","66.8431","-2.43"
"Jan 26, 2015","68.5074","64.2388","68.5074","68.5074","6.64"
"Jan 23, 2015","64.2388","64.1307","64.2388","64.2388","0.17"
"Jan 22, 2015","64.1307","65.3002","64.1307","64.1307","-1.79"
"Jan 21, 2015","65.3002","65.1776","65.3002","65.3002","0.19"
"Jan 20, 2015","65.1776","65.0073","65.1776","65.1776","0.26"
"Jan 19, 2015","65.0073","65.1220","65.0073","65.0073","-0.18"
"Jan 16, 2015","65.1220","65.2315","65.1220","65.1220","-0.17"
"Jan 15, 2015","65.2315","64.7915","65.2315","65.2315","0.68"
"Jan 14, 2015","64.7915","65.2646","64.7915","64.7915","-0.72"
"Jan 13, 2015","65.2646","63.1624","65.2646","65.2646","3.33"
"Jan 12, 2015","63.1624","61.4457","63.1624","63.1624","2.79"
"Jan 09, 2015","61.4457","60.3831","61.4457","61.4457","1.76"
"Jan 08, 2015","60.3831","63.0892","60.3831","60.3831","-4.00"
"Jan 07, 2015","62.9000","63.7300","64.1450","62.0550","-0.30"
"Jan 06, 2015","63.0892","60.8074","63.0892","63.0892","3.75"
